month,trends
1/1/2004,0
2/1/2004,0
3/1/2004,36
4/1/2004,0
5/1/2004,50
6/1/2004,26
7/1/2004,0
8/1/2004,48
9/1/2004,0
10/1/2004,71
11/1/2004,0
12/1/2004,43
1/1/2005,38
2/1/2005,20
3/1/2005,69
4/1/2005,77
5/1/2005,68
6/1/2005,54
7/1/2005,53
8/1/2005,17
9/1/2005,61
10/1/2005,57
11/1/2005,73
12/1/2005,14
1/1/2006,50
2/1/2006,51
3/1/2006,56
4/1/2006,72
5/1/2006,23
6/1/2006,48
7/1/2006,46
8/1/2006,53
9/1/2006,0
10/1/2006,29
11/1/2006,19
12/1/2006,30
1/1/2007,17
2/1/2007,55
3/1/2007,33
4/1/2007,33
5/1/2007,30
6/1/2007,41
7/1/2007,23
8/1/2007,14
9/1/2007,15
10/1/2007,19
11/1/2007,45
12/1/2007,34
1/1/2008,24
2/1/2008,43
3/1/2008,24
4/1/2008,41
5/1/2008,29
6/1/2008,57
7/1/2008,18
8/1/2008,36
9/1/2008,39
10/1/2008,40
11/1/2008,28
12/1/2008,38
1/1/2009,42
2/1/2009,50
3/1/2009,34
4/1/2009,55
5/1/2009,45
6/1/2009,46
7/1/2009,35
8/1/2009,25
9/1/2009,44
10/1/2009,27
11/1/2009,42
12/1/2009,80
1/1/2010,52
2/1/2010,36
3/1/2010,57
4/1/2010,30
5/1/2010,44
6/1/2010,59
7/1/2010,31
8/1/2010,33
9/1/2010,22
10/1/2010,21
11/1/2010,67
12/1/2010,31
1/1/2011,53
2/1/2011,64
3/1/2011,37
4/1/2011,35
5/1/2011,43
6/1/2011,53
7/1/2011,43
8/1/2011,51
9/1/2011,35
10/1/2011,60
11/1/2011,55
12/1/2011,32
1/1/2012,60
2/1/2012,70
3/1/2012,64
4/1/2012,52
5/1/2012,46
6/1/2012,53
7/1/2012,30
8/1/2012,39
9/1/2012,67
10/1/2012,37
11/1/2012,54
12/1/2012,30
1/1/2013,47
2/1/2013,55
3/1/2013,63
4/1/2013,71
5/1/2013,53
6/1/2013,44
7/1/2013,39
8/1/2013,37
9/1/2013,49
10/1/2013,54
11/1/2013,84
12/1/2013,56
1/1/2014,39
2/1/2014,71
3/1/2014,55
4/1/2014,62
5/1/2014,65
6/1/2014,60
7/1/2014,47
8/1/2014,33
9/1/2014,53
10/1/2014,64
11/1/2014,60
12/1/2014,61
1/1/2015,55
2/1/2015,60
3/1/2015,57
4/1/2015,100
5/1/2015,51
6/1/2015,45
7/1/2015,42
8/1/2015,55
9/1/2015,53
10/1/2015,69
11/1/2015,54
12/1/2015,69
1/1/2016,40
2/1/2016,66
3/1/2016,61
4/1/2016,67
5/1/2016,46
6/1/2016,52
7/1/2016,44
8/1/2016,32
9/1/2016,35
10/1/2016,58
11/1/2016,67
12/1/2016,62
1/1/2017,64
2/1/2017,53
3/1/2017,71
4/1/2017,76
5/1/2017,61
6/1/2017,65
7/1/2017,38
8/1/2017,31
9/1/2017,55
10/1/2017,65
11/1/2017,91
12/1/2017,42
1/1/2018,36
2/1/2018,54
3/1/2018,50
4/1/2018,80
5/1/2018,56
6/1/2018,46
