month,trends
1/1/2004,0
2/1/2004,40
3/1/2004,50
4/1/2004,39
5/1/2004,35
6/1/2004,0
7/1/2004,37
8/1/2004,100
9/1/2004,31
10/1/2004,0
11/1/2004,33
12/1/2004,0
1/1/2005,0
2/1/2005,55
3/1/2005,24
4/1/2005,53
5/1/2005,0
6/1/2005,25
7/1/2005,0
8/1/2005,0
9/1/2005,0
10/1/2005,20
11/1/2005,20
12/1/2005,0
1/1/2006,51
2/1/2006,0
3/1/2006,31
4/1/2006,0
5/1/2006,0
6/1/2006,0
7/1/2006,16
8/1/2006,29
9/1/2006,15
10/1/2006,13
11/1/2006,27
12/1/2006,0
1/1/2007,24
2/1/2007,13
3/1/2007,11
4/1/2007,11
5/1/2007,0
6/1/2007,11
7/1/2007,0
8/1/2007,20
9/1/2007,30
10/1/2007,18
11/1/2007,9
12/1/2007,9
1/1/2008,16
2/1/2008,0
3/1/2008,41
4/1/2008,8
5/1/2008,16
6/1/2008,0
7/1/2008,8
8/1/2008,0
9/1/2008,8
10/1/2008,21
11/1/2008,8
12/1/2008,8
1/1/2009,14
2/1/2009,0
3/1/2009,7
4/1/2009,21
5/1/2009,0
6/1/2009,14
7/1/2009,7
8/1/2009,28
9/1/2009,27
10/1/2009,25
11/1/2009,0
12/1/2009,19
1/1/2010,12
2/1/2010,19
3/1/2010,17
4/1/2010,6
5/1/2010,18
6/1/2010,6
7/1/2010,11
8/1/2010,10
9/1/2010,25
10/1/2010,19
11/1/2010,14
12/1/2010,0
1/1/2011,15
2/1/2011,12
3/1/2011,15
4/1/2011,7
5/1/2011,7
6/1/2011,23
7/1/2011,11
8/1/2011,10
9/1/2011,17
10/1/2011,0
11/1/2011,10
12/1/2011,16
1/1/2012,9
2/1/2012,27
3/1/2012,17
4/1/2012,9
5/1/2012,17
6/1/2012,18
7/1/2012,6
8/1/2012,3
9/1/2012,20
10/1/2012,15
11/1/2012,8
12/1/2012,5
1/1/2013,12
2/1/2013,8
3/1/2013,7
4/1/2013,5
5/1/2013,10
6/1/2013,8
7/1/2013,7
8/1/2013,14
9/1/2013,2
10/1/2013,9
11/1/2013,14
12/1/2013,5
1/1/2014,9
2/1/2014,5
3/1/2014,2
4/1/2014,14
5/1/2014,2
6/1/2014,14
7/1/2014,11
8/1/2014,18
9/1/2014,5
10/1/2014,7
11/1/2014,8
12/1/2014,13
1/1/2015,12
2/1/2015,15
3/1/2015,2
4/1/2015,7
5/1/2015,8
6/1/2015,3
7/1/2015,5
8/1/2015,8
9/1/2015,10
10/1/2015,5
11/1/2015,5
12/1/2015,2
1/1/2016,6
2/1/2016,18
3/1/2016,12
4/1/2016,16
5/1/2016,10
6/1/2016,4
7/1/2016,8
8/1/2016,2
9/1/2016,14
10/1/2016,6
11/1/2016,11
12/1/2016,6
1/1/2017,16
2/1/2017,9
3/1/2017,19
4/1/2017,9
5/1/2017,13
6/1/2017,8
7/1/2017,10
8/1/2017,4
9/1/2017,4
10/1/2017,7
11/1/2017,9
12/1/2017,11
1/1/2018,9
2/1/2018,2
3/1/2018,9
4/1/2018,5
5/1/2018,2
6/1/2018,4
