month,trends
1/1/2004,73
2/1/2004,36
3/1/2004,45
4/1/2004,0
5/1/2004,0
6/1/2004,32
7/1/2004,0
8/1/2004,0
9/1/2004,0
10/1/2004,88
11/1/2004,0
12/1/2004,54
1/1/2005,93
2/1/2005,100
3/1/2005,0
4/1/2005,48
5/1/2005,64
6/1/2005,22
7/1/2005,0
8/1/2005,21
9/1/2005,38
10/1/2005,53
11/1/2005,37
12/1/2005,70
1/1/2006,15
2/1/2006,32
3/1/2006,28
4/1/2006,30
5/1/2006,14
6/1/2006,30
7/1/2006,0
8/1/2006,27
9/1/2006,26
10/1/2006,12
11/1/2006,61
12/1/2006,12
1/1/2007,54
2/1/2007,11
3/1/2007,51
4/1/2007,21
5/1/2007,9
6/1/2007,40
7/1/2007,28
8/1/2007,18
9/1/2007,36
10/1/2007,32
11/1/2007,49
12/1/2007,17
1/1/2008,15
2/1/2008,8
3/1/2008,7
4/1/2008,37
5/1/2008,22
6/1/2008,39
7/1/2008,22
8/1/2008,22
9/1/2008,28
10/1/2008,19
11/1/2008,49
12/1/2008,41
1/1/2009,39
2/1/2009,27
3/1/2009,48
4/1/2009,49
5/1/2009,43
6/1/2009,64
7/1/2009,50
8/1/2009,75
9/1/2009,71
10/1/2009,28
11/1/2009,52
12/1/2009,51
1/1/2010,27
2/1/2010,56
3/1/2010,61
4/1/2010,47
5/1/2010,39
6/1/2010,28
7/1/2010,48
8/1/2010,46
9/1/2010,45
10/1/2010,30
11/1/2010,35
12/1/2010,56
1/1/2011,42
2/1/2011,47
3/1/2011,33
4/1/2011,20
5/1/2011,43
6/1/2011,79
7/1/2011,63
8/1/2011,54
9/1/2011,56
10/1/2011,24
11/1/2011,53
12/1/2011,31
1/1/2012,45
2/1/2012,46
3/1/2012,45
4/1/2012,48
5/1/2012,39
6/1/2012,63
7/1/2012,52
8/1/2012,35
9/1/2012,57
10/1/2012,40
11/1/2012,46
12/1/2012,21
1/1/2013,48
2/1/2013,36
3/1/2013,54
4/1/2013,46
5/1/2013,24
6/1/2013,51
7/1/2013,46
8/1/2013,35
9/1/2013,26
10/1/2013,63
11/1/2013,26
12/1/2013,38
1/1/2014,54
2/1/2014,49
3/1/2014,53
4/1/2014,35
5/1/2014,48
6/1/2014,42
7/1/2014,41
8/1/2014,41
9/1/2014,27
10/1/2014,33
11/1/2014,43
12/1/2014,34
1/1/2015,51
2/1/2015,42
3/1/2015,56
4/1/2015,43
5/1/2015,51
6/1/2015,34
7/1/2015,33
8/1/2015,30
9/1/2015,41
10/1/2015,45
11/1/2015,29
12/1/2015,31
1/1/2016,32
2/1/2016,36
3/1/2016,38
4/1/2016,32
5/1/2016,25
6/1/2016,30
7/1/2016,24
8/1/2016,36
9/1/2016,22
10/1/2016,26
11/1/2016,29
12/1/2016,22
1/1/2017,26
2/1/2017,36
3/1/2017,36
4/1/2017,30
5/1/2017,30
6/1/2017,34
7/1/2017,30
8/1/2017,38
9/1/2017,25
10/1/2017,33
11/1/2017,37
12/1/2017,20
1/1/2018,23
2/1/2018,30
3/1/2018,21
4/1/2018,27
5/1/2018,25
6/1/2018,35
