Month,trends
2004-01,100
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,88
2004-07,91
2004-08,83
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,66
2005-05,0
2005-06,61
2005-07,0
2005-08,0
2005-09,53
2005-10,0
2005-11,0
2005-12,48
2006-01,0
2006-02,44
2006-03,0
2006-04,41
2006-05,39
2006-06,0
2006-07,0
2006-08,37
2006-09,0
2006-10,33
2006-11,34
2006-12,0
2007-01,30
2007-02,0
2007-03,0
2007-04,0
2007-05,51
2007-06,0
2007-07,0
2007-08,0
2007-09,25
2007-10,22
2007-11,0
2007-12,23
2008-01,0
2008-02,21
2008-03,61
2008-04,0
2008-05,20
2008-06,0
2008-07,21
2008-08,41
2008-09,19
2008-10,35
2008-11,0
2008-12,19
2009-01,0
2009-02,19
2009-03,17
2009-04,69
2009-05,69
2009-06,18
2009-07,0
2009-08,17
2009-09,50
2009-10,31
2009-11,0
2009-12,16
2010-01,88
2010-02,0
2010-03,42
2010-04,0
2010-05,0
2010-06,31
2010-07,26
2010-08,13
2010-09,25
2010-10,36
2010-11,72
2010-12,0
2011-01,10
2011-02,10
2011-03,9
2011-04,9
2011-05,0
2011-06,29
2011-07,28
2011-08,17
2011-09,77
2011-10,16
2011-11,33
2011-12,16
2012-01,14
2012-02,7
2012-03,29
2012-04,29
2012-05,36
2012-06,8
2012-07,29
2012-08,35
2012-09,14
2012-10,58
2012-11,26
2012-12,26
2013-01,42
2013-02,32
2013-03,18
2013-04,12
2013-05,12
2013-06,25
2013-07,37
2013-08,6
2013-09,24
2013-10,35
2013-11,30
2013-12,29
2014-01,50
2014-02,18
2014-03,39
2014-04,17
2014-05,18
2014-06,27
2014-07,40
2014-08,53
2014-09,25
2014-10,18
2014-11,19
2014-12,0
2015-01,6
2015-02,13
2015-03,24
2015-04,13
2015-05,19
2015-06,27
2015-07,20
2015-08,6
2015-09,31
2015-10,12
2015-11,37
2015-12,24
2016-01,10
2016-02,20
2016-03,19
2016-04,10
2016-05,10
2016-06,36
2016-07,36
2016-08,16
2016-09,15
2016-10,19
2016-11,38
2016-12,14
2017-01,36
2017-02,9
2017-03,17
2017-04,22
2017-05,32
2017-06,24
2017-07,34
2017-08,18
2017-09,14
2017-10,13
2017-11,0
2017-12,18
2018-01,30
2018-02,18
2018-03,21
2018-04,13
2018-05,22
2018-06,5
2018-07,5
2018-08,25
