Month,trends
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,79
2006-05,0
2006-06,0
2006-07,0
2006-08,70
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,43
2007-12,0
2008-01,39
2008-02,0
2008-03,39
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,34
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,33
2009-08,0
2009-09,0
2009-10,30
2009-11,0
2009-12,0
2010-01,0
2010-02,29
2010-03,0
2010-04,0
2010-05,0
2010-06,60
2010-07,25
2010-08,0
2010-09,0
2010-10,23
2010-11,0
2010-12,0
2011-01,0
2011-02,19
2011-03,17
2011-04,36
2011-05,0
2011-06,0
2011-07,35
2011-08,16
2011-09,33
2011-10,16
2011-11,47
2011-12,0
2012-01,28
2012-02,29
2012-03,42
2012-04,57
2012-05,82
2012-06,87
2012-07,0
2012-08,40
2012-09,0
2012-10,24
2012-11,13
2012-12,0
2013-01,0
2013-02,49
2013-03,23
2013-04,23
2013-05,12
2013-06,24
2013-07,23
2013-08,34
2013-09,23
2013-10,0
2013-11,46
2013-12,22
2014-01,32
2014-02,0
2014-03,42
2014-04,22
2014-05,68
2014-06,0
2014-07,25
2014-08,75
2014-09,12
2014-10,23
2014-11,12
2014-12,24
2015-01,70
2015-02,12
2015-03,11
2015-04,12
2015-05,25
2015-06,51
2015-07,12
2015-08,49
2015-09,48
2015-10,45
2015-11,12
2015-12,23
2016-01,37
2016-02,28
2016-03,45
2016-04,19
2016-05,19
2016-06,50
2016-07,20
2016-08,0
2016-09,57
2016-10,28
2016-11,0
2016-12,27
2017-01,25
2017-02,99
2017-03,33
2017-04,35
2017-05,26
2017-06,9
2017-07,18
2017-08,26
2017-09,52
2017-10,100
2017-11,17
2017-12,52
2018-01,32
2018-02,26
2018-03,64
2018-04,59
2018-05,8
2018-06,9
