Month,Index
2004-01,0
2004-02,40
2004-03,50
2004-04,39
2004-05,35
2004-06,0
2004-07,37
2004-08,100
2004-09,31
2004-10,0
2004-11,33
2004-12,0
2005-01,0
2005-02,55
2005-03,24
2005-04,53
2005-05,0
2005-06,25
2005-07,0
2005-08,0
2005-09,0
2005-10,20
2005-11,20
2005-12,0
2006-01,51
2006-02,0
2006-03,31
2006-04,0
2006-05,0
2006-06,0
2006-07,16
2006-08,29
2006-09,15
2006-10,13
2006-11,27
2006-12,0
2007-01,24
2007-02,13
2007-03,11
2007-04,11
2007-05,0
2007-06,11
2007-07,0
2007-08,20
2007-09,30
2007-10,18
2007-11,9
2007-12,9
2008-01,16
2008-02,0
2008-03,41
2008-04,8
2008-05,16
2008-06,0
2008-07,8
2008-08,0
2008-09,8
2008-10,21
2008-11,8
2008-12,8
2009-01,14
2009-02,0
2009-03,7
2009-04,21
2009-05,0
2009-06,14
2009-07,7
2009-08,28
2009-09,27
2009-10,25
2009-11,0
2009-12,19
2010-01,12
2010-02,19
2010-03,17
2010-04,6
2010-05,18
2010-06,6
2010-07,11
2010-08,10
2010-09,25
2010-10,19
2010-11,14
2010-12,0
2011-01,15
2011-02,12
2011-03,15
2011-04,7
2011-05,7
2011-06,23
2011-07,11
2011-08,10
2011-09,17
2011-10,0
2011-11,10
2011-12,16
2012-01,9
2012-02,27
2012-03,17
2012-04,9
2012-05,17
2012-06,18
2012-07,6
2012-08,3
2012-09,20
2012-10,15
2012-11,8
2012-12,5
2013-01,12
2013-02,8
2013-03,7
2013-04,5
2013-05,10
2013-06,8
2013-07,7
2013-08,14
2013-09,2
2013-10,9
2013-11,14
2013-12,5
2014-01,9
2014-02,5
2014-03,2
2014-04,14
2014-05,2
2014-06,14
2014-07,11
2014-08,18
2014-09,5
2014-10,7
2014-11,8
2014-12,13
2015-01,12
2015-02,15
2015-03,2
2015-04,7
2015-05,8
2015-06,3
2015-07,5
2015-08,8
2015-09,10
2015-10,5
2015-11,5
2015-12,2
2016-01,6
2016-02,18
2016-03,12
2016-04,16
2016-05,10
2016-06,4
2016-07,8
2016-08,2
2016-09,14
2016-10,6
2016-11,11
2016-12,6
2017-01,16
2017-02,9
2017-03,19
2017-04,9
2017-05,13
2017-06,8
2017-07,10
2017-08,4
2017-09,4
2017-10,7
2017-11,9
2017-12,11
2018-01,9
2018-02,2
2018-03,9
2018-04,5
2018-05,2
2018-06,4
