Month,trends
2004-01,49
2004-02,0
2004-03,0
2004-04,46
2004-05,0
2004-06,86
2004-07,0
2004-08,0
2004-09,38
2004-10,39
2004-11,40
2004-12,71
2005-01,0
2005-02,100
2005-03,57
2005-04,32
2005-05,28
2005-06,0
2005-07,29
2005-08,0
2005-09,26
2005-10,24
2005-11,49
2005-12,23
2006-01,21
2006-02,21
2006-03,19
2006-04,20
2006-05,38
2006-06,0
2006-07,0
2006-08,18
2006-09,18
2006-10,32
2006-11,98
2006-12,17
2007-01,15
2007-02,0
2007-03,0
2007-04,14
2007-05,37
2007-06,27
2007-07,38
2007-08,24
2007-09,0
2007-10,33
2007-11,32
2007-12,11
2008-01,30
2008-02,20
2008-03,10
2008-04,39
2008-05,10
2008-06,21
2008-07,30
2008-08,20
2008-09,0
2008-10,17
2008-11,28
2008-12,0
2009-01,9
2009-02,18
2009-03,41
2009-04,17
2009-05,25
2009-06,9
2009-07,34
2009-08,33
2009-09,0
2009-10,15
2009-11,31
2009-12,31
2010-01,29
2010-02,68
2010-03,20
2010-04,14
2010-05,7
2010-06,23
2010-07,19
2010-08,25
2010-09,36
2010-10,12
2010-11,12
2010-12,34
2011-01,14
2011-02,29
2011-03,31
2011-04,14
2011-05,40
2011-06,32
2011-07,13
2011-08,33
2011-09,21
2011-10,16
2011-11,32
2011-12,49
2012-01,32
2012-02,62
2012-03,21
2012-04,29
2012-05,21
2012-06,44
2012-07,10
2012-08,27
2012-09,31
2012-10,25
2012-11,29
2012-12,25
2013-01,23
2013-02,19
2013-03,26
2013-04,53
2013-05,32
2013-06,12
2013-07,30
2013-08,26
2013-09,20
2013-10,23
2013-11,40
2013-12,26
2014-01,19
2014-02,12
2014-03,30
2014-04,25
2014-05,23
2014-06,47
2014-07,42
2014-08,45
2014-09,28
2014-10,23
2014-11,28
2014-12,21
2015-01,23
2015-02,37
2015-03,32
2015-04,40
2015-05,19
2015-06,32
2015-07,32
2015-08,16
2015-09,36
2015-10,20
2015-11,36
2015-12,29
2016-01,21
2016-02,29
2016-03,26
2016-04,29
2016-05,24
2016-06,27
2016-07,35
2016-08,18
2016-09,15
2016-10,37
2016-11,28
2016-12,29
2017-01,30
2017-02,39
2017-03,25
2017-04,31
2017-05,31
2017-06,19
2017-07,19
2017-08,22
2017-09,33
2017-10,32
2017-11,26
2017-12,26
2018-01,33
2018-02,31
2018-03,23
2018-04,32
2018-05,29
2018-06,24
