Month,trends
2004-01,76
2004-02,0
2004-03,0
2004-04,71
2004-05,0
2004-06,0
2004-07,0
2004-08,62
2004-09,59
2004-10,90
2004-11,0
2004-12,56
2005-01,0
2005-02,0
2005-03,0
2005-04,100
2005-05,87
2005-06,0
2005-07,0
2005-08,0
2005-09,40
2005-10,0
2005-11,38
2005-12,0
2006-01,0
2006-02,33
2006-03,29
2006-04,62
2006-05,58
2006-06,31
2006-07,0
2006-08,27
2006-09,0
2006-10,50
2006-11,0
2006-12,0
2007-01,0
2007-02,24
2007-03,43
2007-04,21
2007-05,39
2007-06,42
2007-07,0
2007-08,19
2007-09,0
2007-10,0
2007-11,17
2007-12,35
2008-01,15
2008-02,32
2008-03,61
2008-04,0
2008-05,15
2008-06,16
2008-07,15
2008-08,15
2008-09,29
2008-10,0
2008-11,14
2008-12,28
2009-01,13
2009-02,21
2009-03,19
2009-04,26
2009-05,13
2009-06,13
2009-07,13
2009-08,13
2009-09,49
2009-10,46
2009-11,12
2009-12,24
2010-01,11
2010-02,17
2010-03,10
2010-04,11
2010-05,23
2010-06,12
2010-07,0
2010-08,19
2010-09,19
2010-10,9
2010-11,18
2010-12,9
2011-01,18
2011-02,19
2011-03,7
2011-04,28
2011-05,10
2011-06,21
2011-07,21
2011-08,6
2011-09,26
2011-10,18
2011-11,18
2011-12,12
2012-01,25
2012-02,8
2012-03,8
2012-04,23
2012-05,8
2012-06,8
2012-07,8
2012-08,16
2012-09,16
2012-10,7
2012-11,20
2012-12,7
2013-01,5
2013-02,19
2013-03,16
2013-04,16
2013-05,11
2013-06,10
2013-07,9
2013-08,5
2013-09,13
2013-10,4
2013-11,9
2013-12,4
2014-01,15
2014-02,9
2014-03,4
2014-04,13
2014-05,9
2014-06,18
2014-07,12
2014-08,5
2014-09,19
2014-10,20
2014-11,5
2014-12,12
2015-01,18
2015-02,14
2015-03,9
2015-04,14
2015-05,24
2015-06,8
2015-07,5
2015-08,0
2015-09,21
2015-10,13
2015-11,7
2015-12,14
2016-01,11
2016-02,15
2016-03,14
2016-04,4
2016-05,11
2016-06,18
2016-07,19
2016-08,12
2016-09,6
2016-10,9
2016-11,14
2016-12,17
2017-01,8
2017-02,11
2017-03,13
2017-04,7
2017-05,9
2017-06,7
2017-07,5
2017-08,9
2017-09,22
2017-10,10
2017-11,7
2017-12,15
2018-01,8
2018-02,7
2018-03,22
2018-04,8
2018-05,10
2018-06,9
