Month,trends
2004-01,92
2004-02,92
2004-03,70
2004-04,82
2004-05,58
2004-06,80
2004-07,72
2004-08,91
2004-09,87
2004-10,94
2004-11,75
2004-12,84
2005-01,94
2005-02,72
2005-03,89
2005-04,93
2005-05,78
2005-06,95
2005-07,100
2005-08,86
2005-09,85
2005-10,79
2005-11,86
2005-12,74
2006-01,74
2006-02,84
2006-03,98
2006-04,98
2006-05,72
2006-06,88
2006-07,86
2006-08,90
2006-09,83
2006-10,73
2006-11,76
2006-12,73
2007-01,77
2007-02,75
2007-03,70
2007-04,79
2007-05,76
2007-06,92
2007-07,77
2007-08,85
2007-09,78
2007-10,84
2007-11,84
2007-12,72
2008-01,76
2008-02,68
2008-03,77
2008-04,85
2008-05,71
2008-06,76
2008-07,77
2008-08,74
2008-09,74
2008-10,69
2008-11,64
2008-12,69
2009-01,78
2009-02,74
2009-03,80
2009-04,71
2009-05,70
2009-06,74
2009-07,70
2009-08,64
2009-09,63
2009-10,61
2009-11,60
2009-12,60
2010-01,57
2010-02,60
2010-03,66
2010-04,65
2010-05,66
2010-06,77
2010-07,65
2010-08,65
2010-09,60
2010-10,67
2010-11,56
2010-12,59
2011-01,66
2011-02,68
2011-03,67
2011-04,72
2011-05,61
2011-06,64
2011-07,60
2011-08,65
2011-09,64
2011-10,63
2011-11,61
2011-12,57
2012-01,65
2012-02,68
2012-03,66
2012-04,70
2012-05,67
2012-06,70
2012-07,71
2012-08,63
2012-09,69
2012-10,68
2012-11,62
2012-12,57
2013-01,64
2013-02,71
2013-03,73
2013-04,69
2013-05,61
2013-06,63
2013-07,62
2013-08,64
2013-09,64
2013-10,66
2013-11,64
2013-12,56
2014-01,68
2014-02,68
2014-03,69
2014-04,69
2014-05,65
2014-06,76
2014-07,69
2014-08,67
2014-09,69
2014-10,69
2014-11,58
2014-12,57
2015-01,64
2015-02,63
2015-03,64
2015-04,69
2015-05,64
2015-06,71
2015-07,69
2015-08,63
2015-09,65
2015-10,67
2015-11,60
2015-12,62
2016-01,50
2016-02,57
2016-03,55
2016-04,53
2016-05,51
2016-06,57
2016-07,49
2016-08,53
2016-09,51
2016-10,49
2016-11,48
2016-12,48
2017-01,51
2017-02,51
2017-03,56
2017-04,53
2017-05,55
2017-06,58
2017-07,54
2017-08,55
2017-09,47
2017-10,55
2017-11,50
2017-12,45
2018-01,56
2018-02,52
2018-03,50
2018-04,55
2018-05,57
2018-06,48
2018-07,49
2018-08,51
